,Overall Rank,School,State,Undergrad. Enrollment,Admission Rate,Student/faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,Quality Rank,Total Costs,Cost After Need-based Aid,Need Met,Aid From Grants,Cost After Non-Need-Based Aid,Non-Need-Based Aid+,Average Debt,Cost Rank,SAT,ACT
49,50.0,Brandeis University,MA,0.15394120372753953,0.4375,0.35714285714285715,0.8876404494382022,0.6296296296296297,38.0,0.9645844345636019,0.7220538574768378,0.8,0.726027397260274,0.5467820443482964,0.41414141414141414,0.0,81.0,0.7647058823529411,0.7333333333333333
50,51.0,College of the Holy Cross,MA,0.14076095350872678,0.453125,0.5714285714285714,0.9887640449438202,0.8148148148148148,41.0,0.8946239233854669,0.790847692440904,1.0,0.6027397260273972,0.6862493239588967,0.1414141414141414,0.5692667540844172,69.0,0.43137254901960786,0.4666666666666667
51,52.0,Harvey Mudd College,CA,0.03253874272769397,0.359375,0.42857142857142855,0.8426966292134831,0.5555555555555556,35.0,0.9577127576878829,0.7127023984760585,1.0,0.7123287671232876,0.8386627906976745,0.5757575757575758,0.7165538505156466,90.0,0.9411764705882353,1.0
52,53.0,Wake Forest University,NC,0.20480873191576995,0.421875,0.5,0.8651685393258427,0.7037037037037037,42.0,0.8706196946612357,0.6761191445146766,0.875,0.684931506849315,0.6543739859383451,0.4444444444444444,0.8778041606123967,61.0,0.5882352941176471,0.6888888888888889
54,54.0,Wheaton College,IL,0.11985790042732843,0.625,0.5714285714285714,0.7865168539325843,0.5925925925925926,66.0,0.5906843692671248,0.5092215776257685,0.9625,0.6438356164383562,0.4934762033531639,0.10101010101010101,0.5622142679944714,24.0,0.6862745098039216,0.6222222222222222
55,55.0,Tufts University,MA,0.24934356175668024,0.203125,0.42857142857142855,0.9101123595505618,0.7407407407407407,40.0,0.9668231709213022,0.6293185557191099,1.0,0.7945205479452054,0.9937128177393185,0.030303030303030304,0.5492788035581387,79.0,0.6274509803921569,0.7777777777777778
56,56.0,Oberlin College,OH,0.14318076507233693,0.296875,0.5,0.7078651685393258,0.2962962962962963,50.0,0.9206492335437331,0.671140358472595,1.0,0.6164383561643836,0.6288534342888048,0.25252525252525254,0.4935322677818336,50.0,0.7450980392156863,0.5555555555555556
57,57.0,Mount Holyoke College,MA,0.10935488853421202,0.59375,0.5,0.8426966292134831,0.4074074074074074,49.0,0.9511209228568763,0.5926487141743874,1.0,0.6712328767123288,0.6858098972417523,0.09090909090909091,0.5032427260162313,51.0,0.6078431372549019,0.3333333333333333
58,58.0,Furman University,SC,0.13926787828862688,0.6875,0.5714285714285714,0.8314606741573034,0.48148148148148145,69.0,0.6638786107397158,0.46397956533033163,0.875,0.6164383561643836,0.4107287723093564,0.5454545454545454,0.628734450862955,14.0,0.3137254901960784,0.3333333333333333
61,61.0,Lehigh University,PA,0.23884054986356382,0.46875,0.5714285714285714,0.7865168539325843,0.5925925925925926,65.0,0.8579024284070769,0.5863711143821976,0.9875,0.6575342465753424,0.5121687398593835,0.13131313131313133,0.6014813764751745,30.0,0.19607843137254902,0.6666666666666666
